,Hotel Name,Rating,Address,City Code,Place ID
1409,Super 8 by Wyndham Vandalia/Dayton International Airport,3.1,"550 East National Road, Vandalia",DAY,ChIJZ1RI9Jt-P4gR3H9kEmJbGwQ
1410,Courtyard by Marriott Dayton North,4,"7087 Miller Lane, Dayton",DAY,ChIJMQytvw5-P4gRo9eJOLHe_rg
1411,Residence Inn by Marriott Dayton Vandalia,4.4,"7227 York Center Drive, Dayton",DAY,ChIJlQY2GAx-P4gR8gxAta4MW3I
1412,Hampton Inn & Suites Dayton-Vandalia,4.3,"7043 Miller Lane, Dayton",DAY,ChIJz_J57w5-P4gReqy3zRa9ZaA
1413,Hawthorn Suites by Wyndham Dayton North,3.1,"7070 Poe Avenue, Dayton",DAY,ChIJGV8UoAl-P4gRtsXdOFHpMx0
1414,"The Historic Davenport, Autograph Collection",4.6,"10 South Post Street, Spokane",GEG,ChIJoTimK2cYnlQR7BfF2VEGVZ4
1415,Hampton Inn Spokane,4.4,"2010 South Assembly Road, Spokane",GEG,ChIJHX3a-_AXnlQReokh0QBkSs0
1416,Hotel Ruby,4.1,"901 West 1st Avenue, Spokane",GEG,ChIJSewz3mYYnlQRF9Ds9pDTO5Y
1417,Best Western Plus Peppertree Airport Inn,4.1,"3711 South Geiger Boulevard, Spokane",GEG,ChIJ2bAHlNYXnlQRiidVdEHHqug
1418,Hilton Garden Inn Spokane Airport,4.5,"9015 U.S. 2, Spokane",GEG,ChIJA4ShO60XnlQRt7ndBtC00QY
1419,"Holiday Inn Boise Airport, an IHG Hotel",4.3,"2970 West Elder Street, Boise",BOI,ChIJYaWKBONXrlQRy-2-KBi8wsg
1420,TownePlace Suites by Marriott Boise Downtown/University,4.3,"1455 South Capitol Boulevard, Boise",BOI,ChIJK8VPLIv4rlQRBRtqqcDjKG4
1421,Inn America - Boise,4.1,"2275 West Airport Way, Boise",BOI,ChIJ-SsC-P1XrlQRv0kt0hrodRc
1422,Super 8 by Wyndham Boise,3,"2773 West Elder Street, Boise",BOI,ChIJk4yVxOJXrlQRJfiRjaw2E_c
1423,Residence Inn by Marriott Boise Downtown/University,4.4,"1401 South Lusk Place, Boise",BOI,ChIJsxJPOov4rlQRXV1hYJLrJtE
1424,Best Western Plus Executive Court Inn & Conference Center,4.3,"13500 South Willow Street, Manchester",MHT,ChIJEy52sttN4okRL3pXLGJB7lw
1425,"Holiday Inn Express & Suites Manchester-Airport, an IHG Hotel",4.2,"1298 South Porter Street, Manchester",MHT,ChIJDSoMTIlO4okRbxjycxSKr1M
1426,Hilton Garden Inn Manchester Downtown,4.3,"101 South Commercial Street, Manchester",MHT,ChIJbba6mNBO4okRnC2wWOeJkp8
